PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Kumar, KV; Bhattacharya, A; Subramanyam, C				Kumar, KV; Bhattacharya, A; Subramanyam, C			Coastal morphological influence for tropical cyclone track deviation along Andhra coast: GIS and remote sensing-based approach	CURRENT SCIENCE																													0011-3891					NOV 10	1998	75	9					955	958										WOS:000076963900027						
J	Wang, WS; Nowlin, WD; Reid, RO				Wang, WS; Nowlin, WD; Reid, RO			A comparison among LATEX, NCEP, and ERS-1 scatterometer winds over the northwestern Gulf of Mexico	JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY																													0739-0572	1520-0426				OCT	1998	15	5					1204	1214		10.1175/1520-0426(1998)015<1204:ACALNA>2.0.CO;2								WOS:000075962100013						
J	van Raaphorst, W; Philippart, CJM; Smit, JPC; Dijkstra, FJ; Malschaert, JFP				van Raaphorst, W; Philippart, CJM; Smit, JPC; Dijkstra, FJ; Malschaert, JFP			Distribution of suspended particulate matter in the North Sea as inferred from NOAA/AVHRR reflectance images and in situ observations	JOURNAL OF SEA RESEARCH																													1385-1101					JUN	1998	39	3-4					197	215		10.1016/S1385-1101(98)00006-9								WOS:000074589500002						
J	Lehner, S; Horstmann, J; Koch, W; Rosenthal, W				Lehner, S; Horstmann, J; Koch, W; Rosenthal, W			Mesoscale wind measurements using recalibrated ERS SAR images	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																																		APR 15	1998	103	C4					7847	7856		10.1029/97JC02726								WOS:000073114800029						
J	Korsbakken, E; Johannessen, JA; Johannessen, OM				Korsbakken, E; Johannessen, JA; Johannessen, OM			Coastal wind field retrievals from ERS synthetic aperture radar images	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																																		APR 15	1998	103	C4					7857	7874		10.1029/97JC02580								WOS:000073114800030						
J	Alpers, W; Pahl, U; Gross, G				Alpers, W; Pahl, U; Gross, G			Katabatic wind fields in coastal areas studied by ERS-1 synthetic aperture radar imagery and numerical modeling	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																																		APR 15	1998	103	C4					7875	7886		10.1029/97JC01774								WOS:000073114800031						
J	Li, Y; Huang, W; Fang, M				Li, Y; Huang, W; Fang, M			An algorithm for the retrieval of suspended sediment in coastal waters of China from AVHRR data	CONTINENTAL SHELF RESEARCH																													0278-4343					APR	1998	18	5					487	+		10.1016/S0278-4343(97)00074-5								WOS:000074842700002						
J	Thomson, AG; Fuller, RM; Sparks, TH; Yates, MG; Eastwood, JA				Thomson, AG; Fuller, RM; Sparks, TH; Yates, MG; Eastwood, JA			Ground and airborne radiometry over intertidal surfaces: waveband selection for cover classification	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					APR	1998	19	6					1189	1205		10.1080/014311698215685								WOS:000073315500012						
J	Jano, AP; Jefferies, RL; Rockwell, RF				Jano, AP; Jefferies, RL; Rockwell, RF			The detection of vegetational change by multitemporal analysis of LANDSAT data: the effects of goose foraging (vol 86, pg 93, 1998)	JOURNAL OF ECOLOGY																													0022-0477					APR	1998	86	2					362	+										WOS:000073764500014						
J	Katsumata, M; Uyeda, H; Kikuchi, K				Katsumata, M; Uyeda, H; Kikuchi, K			Characteristics of a Cloud Band off the west coast of Hokkaido Island as determined from AVHRR/NOAA, SSM/I and radar data	JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN																ueda, hiroshi/P-9078-2014													0026-1165	2186-9057				APR	1998	76	2					169	189		10.2151/jmsj1965.76.2_169								WOS:000073830400002						
J	Van Buskirk, R; Garbesi, K; Rosen, K				Van Buskirk, R; Garbesi, K; Rosen, K			Wind resource assessment of Eritrea, Africa: preliminary results and status	JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS					2nd European and African Conference on Wind Engineering	JUN 22-26, 1997	GENOA, ITALY	Univ Genova, Dept Struct & Geotech Engn, Int Assoc Wind Engn, Italian Natl Assoc Wind Engn, Liguria Reg, Province Genova, Municipal Genova, UNESCO																					0167-6105					APR-AUG	1998	74-6						365	374		10.1016/S0167-6105(98)00033-6								WOS:000075383400031						
J	Green, EP; Clark, CD; Mumby, PJ; Edwards, AJ; Ellis, AC				Green, EP; Clark, CD; Mumby, PJ; Edwards, AJ; Ellis, AC			Remote sensing techniques for mangrove mapping	INTERNATIONAL JOURNAL OF REMOTE SENSING																Clark, Chris/C-3830-2009; Mumby, Peter/F-9914-2010; Edwards, Alasdair/C-9558-2009	Clark, Chris/0000-0002-1021-6679; Edwards, Alasdair/0000-0002-2979-7389												0143-1161					MAR 20	1998	19	5					935	956		10.1080/014311698215801								WOS:000073174700009						
J	Jano, AP; Jefferies, RL; Rockwell, RF				Jano, AP; Jefferies, RL; Rockwell, RF			The detection of vegetational change by multitemporal analysis of LANDSAT data: the effects of goose foraging	JOURNAL OF ECOLOGY																													0022-0477					FEB	1998	86	1					93	99		10.1046/j.1365-2745.1998.00232.x								WOS:000072549200008						
S	Rosanova, CE; Lucchitta, BK; Ferrigno, JG		Budd, WF		Rosanova, CE; Lucchitta, BK; Ferrigno, JG			Velocities of Thwaites Glacier and smaller glaciers along the Marie Byrd Land coast, West Antarctica	ANNALS OF GLACIOLOGY, VOL 27, 1998	ANNALS OF GLACIOLOGY				International Symposium on Antarctica and Global Change - Interactions and Impacts	JUL 13-18, 1997	HOBART, AUSTRALIA	Cooperative Res Ctr Antarctica, SO Ocean (Antarctic CRC), Australian Antarctic Div, Int Glaciol Soc, Global Change & Antarctic program of SCAR																					0260-3055		0-946417-22-9				1998	27						47	53										WOS:000079713100007						
S	Hulbe, CL; Rignot, E; MacAyeal, DR		Budd, WF		Hulbe, CL; Rignot, E; MacAyeal, DR			Comparison of ice-shelf creep flow simulations with ice-front motion of Filchner-Ronne Ice Shelf, Antarctica, detected by SAR interferometry	ANNALS OF GLACIOLOGY, VOL 27, 1998	ANNALS OF GLACIOLOGY				International Symposium on Antarctica and Global Change - Interactions and Impacts	JUL 13-18, 1997	HOBART, AUSTRALIA	Cooperative Res Ctr Antarctica, SO Ocean (Antarctic CRC), Australian Antarctic Div, Int Glaciol Soc, Global Change & Antarctic program of SCAR								Rignot, Eric/A-4560-2014	Rignot, Eric/0000-0002-3366-0481; MacAyeal, Douglas/0000-0003-0647-6176; Hulbe, Christina/0000-0003-4765-7037												0260-3055		0-946417-22-9				1998	27						182	186										WOS:000079713100029						
J	Coble, PG; Del Castillo, CE; Avril, B				Coble, PG; Del Castillo, CE; Avril, B			Distribution and optical properties of CDOM in the Arabian Sea during the 1995 Southwest Monsoon	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY																Del Castillo, Carlos/N-2601-2013; Avril, Bernard/E-8139-2012	Avril, Bernard/0000-0003-2373-3947												0967-0645						1998	45	10-11					2195	2223		10.1016/S0967-0645(98)00068-X								WOS:000077765000010						
J	MacAyeal, DR; Rignot, E; Hulbe, CL				MacAyeal, DR; Rignot, E; Hulbe, CL			Ice-shelf dynamics near the front of the Filchner-Ronne Ice Shelf, Antarctica, revealed by SAR interferometry: model/interferogram comparison	JOURNAL OF GLACIOLOGY																Rignot, Eric/A-4560-2014	Rignot, Eric/0000-0002-3366-0481; Hulbe, Christina/0000-0003-4765-7037; MacAyeal, Douglas/0000-0003-0647-6176												0022-1430						1998	44	147					419	428										WOS:000077270400022						
J	Martin, S; Kawase, M				Martin, S; Kawase, M			The southern flux of sea ice in the Tatarskiy Strait, Japan Sea and the generation of the Liman Current	JOURNAL OF MARINE RESEARCH																													0022-2402					JAN	1998	56	1					141	155		10.1357/002224098321836145								WOS:000072549800006						
J	Cadle, SH; Mulawa, PA; Ball, J; Donase, C; Weibel, A; Sagebiel, JC; Knapp, KT; Snow, R				Cadle, SH; Mulawa, PA; Ball, J; Donase, C; Weibel, A; Sagebiel, JC; Knapp, KT; Snow, R			Particulate emission rates from in use high emitting vehicles recruited in Orange County, California	ENVIRONMENTAL SCIENCE & TECHNOLOGY																													0013-936X					DEC	1997	31	12					3405	3412		10.1021/es9700257								WOS:A1997YJ88200033						
J	Morel, A				Morel, A			Consequences of a Synechococcus bloom upon the optical properties of oceanic (case 1) waters	LIMNOLOGY AND OCEANOGRAPHY																													0024-3590	1939-5590				DEC	1997	42	8					1746	1754		10.4319/lo.1997.42.8.1746								WOS:000073407700010						
J	Fingas, MF; Brown, CE				Fingas, MF; Brown, CE			Review of oil spill remote sensing	SPILL SCIENCE & TECHNOLOGY BULLETIN																													1353-2561					DEC	1997	4	4					199	208		10.1016/S1353-2561(98)00023-1                                                   								WOS:000078103900003						
J	Gordon, HR; Du, T; Zhang, TM				Gordon, HR; Du, T; Zhang, TM			Remote sensing of ocean color and aerosol properties: resolving the issue of aerosol absorption	APPLIED OPTICS																													0003-6935					NOV 20	1997	36	33					8670	8684		10.1364/AO.36.008670								WOS:A1997YF88600022	18264417					
J	Ward, DH; Markon, CJ; Douglas, DC				Ward, DH; Markon, CJ; Douglas, DC			Distribution and stability of eelgrass beds at Izembek Lagoon, Alaska	AQUATIC BOTANY																	Douglas, David/0000-0003-0186-1104												0304-3770					OCT	1997	58	3-4					229	240		10.1016/S0304-3770(97)00037-5								WOS:A1997YL24600003						
J	Harley, RA; Sawyer, RF; Milford, JB				Harley, RA; Sawyer, RF; Milford, JB			Updated photochemical modeling for California's South Coast Air Basin: Comparison of chemical mechanisms and motor vehicle emission inventories	ENVIRONMENTAL SCIENCE & TECHNOLOGY																Sawyer, Robert/B-5013-2014; Harley, Robert/C-9177-2016	Harley, Robert/0000-0002-0559-1917												0013-936X					OCT	1997	31	10					2829	2839		10.1021/es9700562								WOS:A1997XZ78700042						
J	Chavez, FP; Pennington, JT; Herlien, R; Jannasch, H; Thurmond, G; Friederich, GE				Chavez, FP; Pennington, JT; Herlien, R; Jannasch, H; Thurmond, G; Friederich, GE			Moorings and drifters for real-time interdisciplinary oceanography	JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY																													0739-0572					OCT	1997	14	5					1199	1211		10.1175/1520-0426(1997)014<1199:MADFRT>2.0.CO;2								WOS:A1997XX16200016						
J	Ferrier, G; Anderson, JM				Ferrier, G; Anderson, JM			A multi-disciplinary study of frontal systems in the Tay estuary, Scotland	ESTUARINE COASTAL AND SHELF SCIENCE																													0272-7714					SEP	1997	45	3					317	336		10.1006/ecss.1996.0183								WOS:A1997XV97000003						
J	Yueh, SH; Wilson, WJ; Li, FK; Nghiem, SV; Ricketts, WB				Yueh, SH; Wilson, WJ; Li, FK; Nghiem, SV; Ricketts, WB			Polarimetric brightness temperatures of sea surfaces measured with aircraft K- and Ka-band radiometers	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																													0196-2892					SEP	1997	35	5					1177	1187		10.1109/36.628785								WOS:A1997XW39000009						
J	White, WA; Morton, RA				White, WA; Morton, RA			Wetland losses related to fault movement and hydrocarbon production, southeastern Texas coast	JOURNAL OF COASTAL RESEARCH																													0749-0208					FAL	1997	13	4					1305	1320										WOS:A1997XZ99900033						
J	Graber, HC; Haus, BK; Chapman, RD; Shay, LK				Graber, HC; Haus, BK; Chapman, RD; Shay, LK			HF radar comparisons with moored estimates of current speed and direction: Expected differences and implications	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																													0148-0227					AUG 15	1997	102	C8					18749	18766		10.1029/97JC01190								WOS:A1997XR35600015						
J	Lafleur, PM; Wurtele, AB; Duguay, CR				Lafleur, PM; Wurtele, AB; Duguay, CR			Spatial and temporal variations in surface albedo of a subarctic landscape using surface-based measurements and remote sensing	ARCTIC AND ALPINE RESEARCH																Duguay, Claude/G-5682-2011	Duguay, Claude/0000-0002-1044-5850												0004-0851					AUG	1997	29	3					261	269		10.2307/1552140								WOS:A1997XU11300001						
J	Zhang, M; Ustin, SL; Rejmankova, E; Sanderson, EW				Zhang, M; Ustin, SL; Rejmankova, E; Sanderson, EW			Monitoring Pacific coast salt marshes using remote sensing	ECOLOGICAL APPLICATIONS																													1051-0761					AUG	1997	7	3					1039	1053										WOS:A1997XQ08100026						
J	Uncles, RJ; Stephens, JA; Murphy, RJ				Uncles, RJ; Stephens, JA; Murphy, RJ			Aircraft and sea-truth observations of a small-scale estuarine intrusion front	JOURNAL OF MARINE SYSTEMS					27th International Liege Colloguium on Ocean Hydrodynamics	MAY 08-12, 1995	LIEGE, BELGIUM	Minist Educ & Res, Belgium, Natl Sci Bdn Belgium, Univ Liege, ICSU, Sci Comm Oceanog Res, Int Assoc Phys Sci Ocean, UNESCO, Intergovt Oceanog Commiss, European Union, USN, Off Naval Res, Natl Sci Fdn, US																					0924-7963					AUG	1997	12	1-4					199	219		10.1016/S0924-7963(96)00098-X								WOS:A1997YB09500015						
J	Remer, LA; Gasso, S; Hegg, DA; Kaufman, YJ; Holben, BN				Remer, LA; Gasso, S; Hegg, DA; Kaufman, YJ; Holben, BN			Urban/industrial aerosol: Ground-based Sun/sky radiometer and airborne in situ measurements	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Gasso, Santiago/H-9571-2014	Gasso, Santiago/0000-0002-6872-0018												2169-897X	2169-8996				JUL 27	1997	102	D14					16849	16859		10.1029/96JD01932								WOS:A1997XN38400032						
J	Menon, S; Bawa, KS				Menon, S; Bawa, KS			Applications of geographic information systems, remote-sensing, and a landscape ecology approach to biodiversity conservation in the Western Ghats	CURRENT SCIENCE																	Bawa, Kamal/0000-0001-6174-9777												0011-3891					JUL 25	1997	73	2					134	145										WOS:A1997XP44200011						
J	Brown, CW; Podesta, GP				Brown, CW; Podesta, GP			Remote sensing of coccolithophore blooms in the western South Atlantic Ocean	REMOTE SENSING OF ENVIRONMENT																Brown, Christopher/B-8213-2008	Brown, Christopher/0000-0002-9905-6391; Podesta, Guillermo/0000-0002-4909-0567												0034-4257					APR	1997	60	1					83	91		10.1016/S0034-4257(96)00140-X								WOS:A1997WT70900007						
J	Liousse, C; Dulac, F; Cachier, H; Tanre, D				Liousse, C; Dulac, F; Cachier, H; Tanre, D			Remote sensing of carbonaceous aerosol production by African savanna biomass burning	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																													2169-897X					MAR 20	1997	102	D5					5895	5911		10.1029/96JD03404								WOS:A1997WQ02100004						
J	Morrison, RIG				Morrison, RIG			The use of remote sensing to evaluate shorebird habitats and populations on Prince Charles Island, Foxe Basin, Canada	ARCTIC																													0004-0843	1923-1245				MAR	1997	50	1					55	75										WOS:A1997WQ21000007						
J	Liu, Z; Bromwich, DH				Liu, Z; Bromwich, DH			Dynamics of the Katabatic Wind Confluence Zone near Siple Coast, West Antarctica	JOURNAL OF APPLIED METEOROLOGY																Bromwich, David/C-9225-2016													0894-8763					FEB	1997	36	2					97	118		10.1175/1520-0450(1997)036<0097:DOTKWC>2.0.CO;2								WOS:A1997WE47800001						
J	Aristegui, J; Tett, P; HernandezGuerra, A; Basterretxea, G; Montero, MF; Wild, K; Sangra, P; HernandezLeon, S; Canton, M; GarciaBraun, JA; Pacheco, M; Barton, ED				Aristegui, J; Tett, P; HernandezGuerra, A; Basterretxea, G; Montero, MF; Wild, K; Sangra, P; HernandezLeon, S; Canton, M; GarciaBraun, JA; Pacheco, M; Barton, ED			The influence of island-generated eddies on chlorophyll distribution: A study of mesoscale variation around Gran Canaria	DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS																Basterretxea, Gotzon/D-2314-2011; Aristegui, Javier/D-5833-2013; Hernandez-Guerra, Alonso/A-4747-2008; Sangra, Pablo/I-1350-2015	Basterretxea, Gotzon/0000-0001-7466-1360; Hernandez-Guerra, Alonso/0000-0002-4883-8123; Sangra, Pablo/0000-0002-6600-2194												0967-0637					JAN	1997	44	1					71	&		10.1016/S0967-0637(96)00093-3								WOS:A1997WK25300004						
J	Bohm, E; Hopkins, TS; Minnett, PJ				Bohm, E; Hopkins, TS; Minnett, PJ			Passive microwave observations of the Northeast Water Polynya interannual variability: 1978-1994	JOURNAL OF MARINE SYSTEMS					Northeast Water Polynya Symposium	MAY 01-05, 1995	HELSINGOR, DENMARK										Bohm, Emanuele/0000-0001-8143-1651												0924-7963					JAN	1997	10	1-4					87	98		10.1016/S0924-7963(96)00080-2								WOS:A1997WM63900010						
J	El-Raey, M				El-Raey, M			Vulnerability assessment of the coastal zone of the Nile delta of Egypt, to the impacts of sea level rise	OCEAN & COASTAL MANAGEMENT																													0964-5691						1997	37	1					29	40		10.1016/S0964-5691(97)00056-2								WOS:000073567600004						
J	Everitt, JH; Judd, FW; Escobar, DE; Davis, MR				Everitt, JH; Judd, FW; Escobar, DE; Davis, MR			Integration of remote sensing and spatial information technologies for mapping black mangrove on the Texas gulf coast	JOURNAL OF COASTAL RESEARCH																													0749-0208					WIN	1996	12	1					64	69										WOS:A1996TW33400007						
J	Graber, HC; Thompson, DR; Carande, RE				Graber, HC; Thompson, DR; Carande, RE			Ocean surface features and currents measured with synthetic aperture radar interferometry and HF radar	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																													0148-0227					NOV 15	1996	101	C11					25813	25832		10.1029/96JC02241								WOS:A1996VT41900016						
J	Argentini, S; Mastrantonio, G; Viola, A; Pettre, P; Dargaud, G				Argentini, S; Mastrantonio, G; Viola, A; Pettre, P; Dargaud, G			Sodar performance and preliminary results after one year of measurements at Adelie Land coast, East Antarctica	BOUNDARY-LAYER METEOROLOGY					7th International Symposium on Acoustic Remote Sensing and Associated Techniques of the Atmosphere and Oceans	OCT 03-07, 1994	NOAA ENVIRONM TECHNOL LAB, BOULDER, CO	Int Soc Acoust Remote Sensing	NOAA ENVIRONM TECHNOL LAB							viola, angelo /C-7184-2015	viola, angelo pietro/0000-0002-6545-7496; ARGENTINI, STEFANIA/0000-0002-7939-0309												0006-8314	1573-1472				OCT	1996	81	1					75	103		10.1007/BF00119401								WOS:A1996WB60500008						
J	Yates, MG; GossCustard, JD; Rispin, WE				Yates, MG; GossCustard, JD; Rispin, WE			Towards predicting the effect of loss of intertidal feeding areas on overwintering shorebirds (Charadrii) and shelduck (Tadorna tadorna): Refinements and tests of a model developed for the Wash, east England	JOURNAL OF APPLIED ECOLOGY																													0021-8901					OCT	1996	33	5					944	954		10.2307/2404676								WOS:A1996VY72900004						
J	Heymsfield, GM; Caylor, IJ; Shepherd, JM; Olson, WS; Bidwell, SW; Boncyk, WC; Ameen, S				Heymsfield, GM; Caylor, IJ; Shepherd, JM; Olson, WS; Bidwell, SW; Boncyk, WC; Ameen, S			Structure of Florida thunderstorms using high-altitude aircraft radiometer and radar observations	JOURNAL OF APPLIED METEOROLOGY																													0894-8763					OCT	1996	35	10					1736	1762		10.1175/1520-0450(1996)035<1736:SOFTUH>2.0.CO;2								WOS:A1996VP28100011						
J	Cooke, WF; Koffi, B; Gregoire, JM				Cooke, WF; Koffi, B; Gregoire, JM			Seasonality of vegetation fires in Africa from remote sensing data and application to a global chemistry model	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																													2169-897X					SEP 20	1996	101	D15					21051	21065		10.1029/96JD01835								WOS:A1996VJ67700013						
J	Moula, M; Brustet, JM; Fontan, J				Moula, M; Brustet, JM; Fontan, J			Remote sensing-modelisation approach for diurnal estimation of burnt biomass in the Central African Republic savanna	JOURNAL OF ATMOSPHERIC CHEMISTRY																													0167-7764					SEP	1996	25	1					1	19		10.1007/BF00053283								WOS:A1996VW63900001						
J	Huh, OK; Moeller, CC; Menzel, WP; Rouse, LJ; Roberts, HH				Huh, OK; Moeller, CC; Menzel, WP; Rouse, LJ; Roberts, HH			Remote sensing of turbid coastal and estuarine waters: A method of multispectral water-type analysis	JOURNAL OF COASTAL RESEARCH																Menzel, W. Paul/B-8306-2011	Menzel, W. Paul/0000-0001-5690-1201												0749-0208					FAL	1996	12	4					984	995										WOS:A1996VX66100023						
J	Jumars, PA; Jackson, DR; Gross, TF; Sherwood, C				Jumars, PA; Jackson, DR; Gross, TF; Sherwood, C			Acoustic remote sensing of benthic activity: A statistical approach	LIMNOLOGY AND OCEANOGRAPHY																	Jackson, Darrell/0000-0001-8060-2439												0024-3590	1939-5590				SEP	1996	41	6					1220	1241		10.4319/lo.1996.41.6.1220								WOS:A1996VZ47600008						
J	Forget, P; Broche, P				Forget, P; Broche, P			Slicks, waves, and fronts observed in a sea coastal area by an X-band airborne synthetic aperture radar	REMOTE SENSING OF ENVIRONMENT																													0034-4257	1879-0704				JUL	1996	57	1					1	12		10.1016/0034-4257(95)00173-5								WOS:A1996UZ25100001						
J	Singer, BC; Harley, RA				Singer, BC; Harley, RA			A fuel-based motor vehicle emission inventory	JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION																Harley, Robert/C-9177-2016	Harley, Robert/0000-0002-0559-1917												1047-3289					JUN	1996	46	6					581	593		10.1080/10473289.1996.10467492								WOS:A1996UQ10200009	28065126					
J	Sanjeevi, S				Sanjeevi, S			Morphology of dunes of the Coromandel coast of Tamil Nadu: A satellite data based approach for coastal landuse planning	LANDSCAPE AND URBAN PLANNING					International Conference on the Science and Management of Coastal Dunes (Dunes 94)	JAN 06-11, 1994	PORT ELIZABETH, SOUTH AFRICA																						0169-2046					MAY	1996	34	3-4					189	195		10.1016/0169-2046(95)00233-2								WOS:A1996UT15800004						
J	Cox, RM; Lemieux, G; Lodin, M				Cox, RM; Lemieux, G; Lodin, M			The assessment and condition of Fundy white birches in relation to ambient exposure to acid marine fogs	CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE					16th International Meeting for Specialists in Air Pollution Effects on Forest Ecosystems - Air Pollution and Multiple Stresses	SEP 07-09, 1994	FREDERICTON, CANADA	Nat Resources Canada, Canadian Forest Serv, Fredericton																					0045-5067					APR	1996	26	4					682	688		10.1139/x26-078								WOS:A1996UH46800021						
J	Ibsen, ML; Brunsden, D				Ibsen, ML; Brunsden, D			The nature, use and problems of historical archives for the temporal occurrence of landslides, with specific reference to the south coast of Britain, Ventnor, Isle of Wight	GEOMORPHOLOGY					3rd International Geomorphology Conference	AUG 23-28, 1993	MCMASTER UNIV, HAMILTON, CANADA	Int Assoc Geomorphologists	MCMASTER UNIV																				0169-555X					APR	1996	15	3-4					241	258		10.1016/0169-555X(95)00073-E								WOS:A1996UK81300006						
J	Sublette, MS; Young, GS				Sublette, MS; Young, GS			Warm-season effects of the Gulf Stream on mesoscale characteristics of the atmospheric boundary layer	MONTHLY WEATHER REVIEW																													0027-0644					APR	1996	124	4					653	667										WOS:A1996UG73900007						
J	Hudak, DR; Stewart, RE; Thomson, AD; List, R				Hudak, DR; Stewart, RE; Thomson, AD; List, R			Warm frontal structure in association with a rapidly deepening extratropical cyclone	ATMOSPHERE-OCEAN																													0705-5900					MAR	1996	34	1					103	132		10.1080/07055900.1996.9649559								WOS:A1996VC18500006						
J	Bromwich, DH; Liu, Z				Bromwich, DH; Liu, Z			An observational study of the katabatic wind confluence zone near Siple Coast, West Antarctica	MONTHLY WEATHER REVIEW																Bromwich, David/C-9225-2016													0027-0644					MAR	1996	124	3					462	477		10.1175/1520-0493(1996)124<0462:AOSOTK>2.0.CO;2								WOS:A1996UB90300007						
J	Patruno, R; Mancini, M; Malfatti, A				Patruno, R; Mancini, M; Malfatti, A			The activities of the Italian Coast Guard in the field of airborne remote sensing and the eventual use of satellite platforms in marine pollution abatement activities	SPILL SCIENCE & TECHNOLOGY BULLETIN																													1353-2561					MAR-JUN	1996	3	1-2					25	31		10.1016/S1353-2561(96)00031-X								WOS:A1996XH52800005						
J	AlSaifi, MM; Qari, MYHT				AlSaifi, MM; Qari, MYHT			Application of Landsat Thematic Mapper data in sabkha studies at the Red Sea coast	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					FEB	1996	17	3					527	536										WOS:A1996TX65900007						
J	Hill, MJ; Donald, GE; Vickery, PJ; Furnival, EP				Hill, MJ; Donald, GE; Vickery, PJ; Furnival, EP			Integration of satellite remote sensing, simple bioclimatic models and GIS for assessment of pastoral development for a commercial grazing enterprise	AUSTRALIAN JOURNAL OF EXPERIMENTAL AGRICULTURE																	Hill, Michael/0000-0003-4570-7467												0816-1089						1996	36	3					309	321		10.1071/EA9960309								WOS:A1996UP71600007						
J	Chatelain, C; Gautier, L; Spichiger, R				Chatelain, C; Gautier, L; Spichiger, R			A recent history of forest fragmentation in southwestern Ivory Coast	BIODIVERSITY AND CONSERVATION																													0960-3115					JAN	1996	5	1					37	53		10.1007/BF00056291								WOS:A1996TW70400003						
J	Frihy, OE				Frihy, OE			Some proposals for coastal management of the Nile delta coast	OCEAN & COASTAL MANAGEMENT																													0964-5691						1996	30	1					43	59		10.1016/0964-5691(95)00044-5								WOS:A1996VF87200002						
J	Barale, V; Folving, S				Barale, V; Folving, S			Remote sensing of coastal interactions in the Mediterranean region	OCEAN & COASTAL MANAGEMENT																													0964-5691						1996	30	2-3					217	233		10.1016/0964-5691(95)00059-3								WOS:A1996VK02200008						
J	REDDY, R; LYNE, V; GRAY, R; EASTON, A; CLARKE, S				REDDY, R; LYNE, V; GRAY, R; EASTON, A; CLARKE, S			AN APPLICATION OF SATELLITE-DERIVED SEA-SURFACE TEMPERATURES TO SOUTHERN BLUEFIN TUNA AND ALBACORE OFF TASMANIA, AUSTRALIA	SCIENTIA MARINA																													0214-8358					SEP-DEC	1995	59	3-4					445	454										WOS:A1995TG02900026						
J	AAS, E; SORENSEN, K				AAS, E; SORENSEN, K			FIELD OBSERVATIONS OF THE RELATION BETWEEN SATELLITE AND SEA RADIANCES IN COASTAL WATERS	APPLIED OPTICS																													0003-6935					AUG 20	1995	34	24					5422	5432		10.1364/AO.34.005422								WOS:A1995RP42100022	21060364					
J	WHITE, AB; FAIRALL, CW; SNIDER, JB				WHITE, AB; FAIRALL, CW; SNIDER, JB			SURFACE-BASED REMOTE-SENSING OF MARINE BOUNDARY-LAYER CLOUD PROPERTIES	JOURNAL OF THE ATMOSPHERIC SCIENCES																													0022-4928					AUG 15	1995	52	16					2827	2838		10.1175/1520-0469(1995)052<2827:SBRSOM>2.0.CO;2								WOS:A1995RN65500011						
J	KUNTE, PD				KUNTE, PD			ON SOME ASPECTS OF BARRIER ISLANDS OF THE WEST-COAST, INDIA	JOURNAL OF COASTAL RESEARCH																													0749-0208					SPR	1995	11	2					508	515										WOS:A1995QW95500015						
J	MAGLARAS, GJ; WALDSTREICHER, JS; KOCIN, PJ; GIGI, AF; MARINE, RA				MAGLARAS, GJ; WALDSTREICHER, JS; KOCIN, PJ; GIGI, AF; MARINE, RA			WINTER WEATHER FORECASTING THROUGHOUT THE EASTERN UNITED-STATES .1. AN OVERVIEW	WEATHER AND FORECASTING																													0882-8156					MAR	1995	10	1					5	20		10.1175/1520-0434(1995)010<0005:WWFTTE>2.0.CO;2								WOS:A1995QU38500002						
J	ANDREAE, TW; ANDREAE, MO; SCHEBESKE, G				ANDREAE, TW; ANDREAE, MO; SCHEBESKE, G			BIOGENIC SULFUR EMISSIONS AND AEROSOLS OVER THE TROPICAL SOUTH-ATLANTIC .1. DIMETHYLSULFIDE IN SEAWATER AND IN THE ATMOSPHERIC BOUNDARY-LAYER	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Andreae, Meinrat/B-1068-2008	Andreae, Meinrat/0000-0003-1968-7925												2169-897X					NOV 20	1994	99	D11					22819	22829		10.1029/94JD01837								WOS:A1994PT03200007						
